Id,start,end,para,name,timestamp,actor,type,text
26135009,159,160,OPT_ID_1162,optByFEhDd6FBkf2XJIaYm8PUhtfdBAjSRt,1582184107619,au,clear-superscript,a
26135011,159,160,OPT_ID_1162,opty1pA5rZ5YkxpeiX8wPS3LtB4ahNEzqUE,1582184107639,au,clear-superscript,a
26135013,159,160,OPT_ID_1162,opt4Ta5oMEHiFkN6fPnTfzGpUhSBDFTqDie,1582184107659,au,clear-superscript,a
26135014,159,160,OPT_ID_1162,opt7uZuUMZc1wVvTTaUajR33pVDvmXpeV4F,1582184107689,au,clear-superscript,a
26135016,159,160,OPT_ID_1162,optnw4tSQjgZEs6o4nNE5K9RJliQf5Qlazd,1582184107709,au,clear-superscript,a
26135018,159,160,OPT_ID_1162,opt1oy8Pw7jpYwma4V44kKiT0HU0hatCIna,1582184107729,au,clear-superscript,a
26135020,159,160,OPT_ID_1162,optnxCXAqjpDHPIObldGGCPNXEYAHVT91RU,1582184107749,au,clear-superscript,a
26135022,159,160,OPT_ID_1162,optx2jnBYNFsL01iTLVyyBFoWHQI86st9gM,1582184107769,au,clear-superscript,a
26135024,159,160,OPT_ID_1162,optrhu4pXwBr6onccav0bDR97GWMcS1SkMD,1582184107789,au,clear-superscript,a
26135026,159,160,OPT_ID_1162,opt7EggjF9BzAlD8acWWD1PYNLMUGRUDhYf,1582184107809,au,clear-superscript,a
26135028,159,160,OPT_ID_1162,opt295hGQRRVgdyptbFLod0DyDm1YgTzAB9,1582184107829,au,clear-superscript,a
26135030,159,160,OPT_ID_1162,optLDN26NNRUFjzkDR9TZuUFNqr6wRFl6BF,1582184107849,au,clear-superscript,a
26135032,159,160,OPT_ID_1162,optywqUUkByFdgVG6RAMWrLjsoTMevuCYJ4,1582184107869,au,clear-superscript,a
26135034,159,160,OPT_ID_1162,optR7YzfDrXuBzi38bM2NUyavfSGhLygI7r,1582184107889,au,clear-superscript,a
26135036,159,160,OPT_ID_1162,optuEA63Sidruk5U3yBKGJgmNJTBBkKlA1r,1582184107909,au,clear-superscript,a
26135038,159,160,OPT_ID_1162,opt7mepsIDTgb01QGvruG8QD6BaFH5A43nT,1582184107929,au,clear-superscript,a
26135040,159,160,OPT_ID_1162,optvGkxVTdE31QcvJaPtm5opXp3bgcDVYKG,1582184107949,au,clear-superscript,a
26135043,159,160,OPT_ID_1162,optiqXvxfQ9al7fzdVosnkOkZexzW1dEXEf,1582184107969,au,clear-superscript,a
26135046,159,160,OPT_ID_1162,optU3on8ZxDX3Y8s6Iot9VBUIRt5XpEh9ok,1582184108019,au,clear-superscript,a
26135048,159,160,OPT_ID_1162,optrE3ERQY5tbfKVZ0Ciev3gTlTWrTPrOW3,1582184108039,au,clear-superscript,a
26135050,159,160,OPT_ID_1162,opty5DygAfAVoekNhlgZHZkZ1jhZY7VCnYM,1582184108059,au,clear-superscript,a
26135052,159,160,OPT_ID_1162,opt7019K0rObU0Gf25EK6ie28KKBeZNDqk0,1582184108079,au,clear-superscript,a
26135054,159,160,OPT_ID_1162,optxBuXOtCJeNmfkns0WgiZYR5OVJwLjIcf,1582184108099,au,clear-superscript,a
26135056,159,160,OPT_ID_1162,optz9uyUfQ1TABslsGdwW7tquUk1iH8lzp8,1582184108119,au,clear-superscript,a
26135059,159,160,OPT_ID_1162,optWEr8id60jcDR9SoMjr2XvTj8u7RHMsVt,1582184108139,au,clear-superscript,a
26135061,159,160,OPT_ID_1162,optuClWRuDNwrTsgzZAp1acYpBG9fW5lNvo,1582184108159,au,clear-superscript,a
26135063,159,160,OPT_ID_1162,optft42ESa9O5j943w4V01PVsDRyRsQQzRU,1582184108179,au,clear-superscript,a
26135065,159,160,OPT_ID_1162,optNQlbPqcCE3e9yjjR07aNDZshmrbv8a6o,1582184108199,au,clear-superscript,a
26135067,159,160,OPT_ID_1162,opt8lU2VApcDMjYZ0XWdYzWpdh4Ub7n8FzJ,1582184108219,au,clear-superscript,a
26135069,159,160,OPT_ID_1162,optPADF63JnDtrVZs8gcqzd4GFjsH8ZrTH4,1582184108239,au,clear-superscript,a
26135071,159,160,OPT_ID_1162,optFX0mNzij4lrThK4p4bVvPOvOqNcbfUCZ,1582184108259,au,clear-superscript,a
26135073,159,160,OPT_ID_1162,optuJYspqEPuifBkBF0zmzMOF6bBt0LrQQp,1582184108279,au,clear-superscript,a
26135075,159,160,OPT_ID_1162,opt8RksAUdvV4UmHNff1RWLaGF71W6HZr7h,1582184108299,au,clear-superscript,a
26135077,159,160,OPT_ID_1162,optuyD0XEzfBwnFgTytz2MrTcrxgiAF5Zlt,1582184108319,au,clear-superscript,a
26135078,159,160,OPT_ID_1162,opt5vWriGd2HiIijnjSoiHVNzgZSyVuPpes,1582184108349,au,clear-superscript,a
26135080,159,160,OPT_ID_1162,optPgang31KH8LLMr5e10FyJ9WAq8Jnf4CQ,1582184108369,au,clear-superscript,a
26135082,159,160,OPT_ID_1162,optwKeozO60Ry0ygBVaJI3HQaY3MKsa1l61,1582184108389,au,clear-superscript,a
26135084,159,160,OPT_ID_1162,optmEFpkGE5yS1aZsAzhwzWihDvkEoWI9uz,1582184108409,au,clear-superscript,a
26135086,159,160,OPT_ID_1162,optFhvF0QGCjmJcSl9cNSsFNHg2CTNdiC55,1582184108429,au,clear-superscript,a
26135088,159,160,OPT_ID_1162,optMR0UKMpHZYdlzEohqnqsC9epWxo5Jqz0,1582184108449,au,clear-superscript,a
26135090,159,160,OPT_ID_1162,optReOq7m6ZpwFdQmhxincE5It8Q9ERNmI3,1582184108469,au,clear-superscript,a
26135092,159,160,OPT_ID_1162,optEyrKD4fJFLnmvB0euxfG27kAtA47WP4X,1582184108489,au,clear-superscript,a
26135094,159,160,OPT_ID_1162,optH8UTb6Aq14A7QzWrdOEWGaxg5gCKTWNY,1582184108509,au,clear-superscript,a
26135096,159,160,OPT_ID_1162,optLrcifY50sb8CorDeQn1b4bMY0YqduCcK,1582184108529,au,clear-superscript,a
26135098,159,160,OPT_ID_1162,optTgsDBPDnMTK0nMyn91VCCF8GlG1jEvNr,1582184108549,au,clear-superscript,a
26135100,159,160,OPT_ID_1162,optA55rI07H1VkSSKQelZigF3YlurRxro3q,1582184108569,au,clear-superscript,a
26135102,159,160,OPT_ID_1162,optNNjobAleW1iZx4XZr9bgWeRyQnKaS6Qh,1582184108589,au,clear-superscript,a
26135104,159,160,OPT_ID_1162,optUAvnrF7fzDByKVLTBYkUusoyi5PgYmDZ,1582184108609,au,clear-superscript,a
26135106,159,160,OPT_ID_1162,optP8almUNwqEHlBWD0Y3PlZan4DvUJVUpI,1582184108629,au,clear-superscript,a
26135108,159,160,OPT_ID_1162,opt6qAZp1gDqobJNHTLhOmtAp93AezpALSl,1582184108659,au,clear-superscript,a
26135110,159,160,OPT_ID_1162,opttcjfKsA0DazebGuPKItQbKAFRgCce6nM,1582184108679,au,clear-superscript,a
26135112,159,160,OPT_ID_1162,optDbVqACzamrLWCpctPV3rl1gh2SE5DAIM,1582184108699,au,clear-superscript,a
26135114,159,160,OPT_ID_1162,optejQvPjKXbZQxesdEX7nmD2mE0U46AEuz,1582184108719,au,clear-superscript,a
26135116,159,160,OPT_ID_1162,optN8xLVZ1EGBFuIbqnBMdc7DDgmrHVCFyt,1582184108739,au,clear-superscript,a
26135118,159,160,OPT_ID_1162,opt6mmfaKzKlK9OYjR4jmbCPQyLVKPcxMHv,1582184108759,au,clear-superscript,a
26135120,159,160,OPT_ID_1162,opta2ooitQ25KMYZqq428SysCvi0St0y8SU,1582184108779,au,clear-superscript,a
26135122,159,160,OPT_ID_1162,optlYHe7Mg9AlLiylHdkkhJcVMJLvdGxyFt,1582184108799,au,clear-superscript,a
26135124,159,160,OPT_ID_1162,optxuFTR200P9BCEqpnaM0FMK9sQJwWmOIo,1582184108819,au,clear-superscript,a
26135126,159,160,OPT_ID_1162,optsZTQ4hkfihWFdl62ZQC1rar8CichfQq5,1582184108839,au,clear-superscript,a
